,struct_typ,year_built,no_stories,meandamage
326,4,1945,1.0,0.13409
327,4,1976,1.0,0.1686
328,4,1976,1.0,0.1687
329,5,1945,1.0,0.13082
330,3,1996,1.0,0.1070599999999999
331,3,1996,1.0,0.10709
332,3,2001,1.0,0.11323
333,4,1972,1.0,0.1614799999999999
334,5,1935,1.0,0.12275
335,3,2000,1.0,0.1117099999999999
336,5,1958,1.0,0.13989
337,3,1983,1.0,0.10309
338,3,1992,1.0,0.1100299999999999
339,5,1935,1.0,0.13016
340,3,2005,1.0,0.1154099999999999
341,3,2012,2.0,0.10701
342,3,2015,1.0,0.12242
343,4,1985,1.0,0.18375
344,4,1992,1.0,0.19698
345,3,2002,1.0,0.11404
346,4,1965,1.0,0.1567
347,3,2001,1.0,0.11316
348,4,1993,1.0,0.19418
349,3,1997,1.0,0.10672
350,3,1997,1.0,0.10679
351,3,2004,1.0,0.11307
352,4,2004,1.0,0.21725
353,3,2004,1.0,0.1132
354,3,2004,1.0,0.1132
355,3,2001,1.0,0.11163
356,5,2001,1.0,0.1893099999999999
357,3,2004,1.0,0.11317
358,5,1976,1.0,0.15722
359,4,1994,1.0,0.19654
360,3,2006,1.0,0.1153599999999999
361,5,1935,1.0,0.12265
362,4,1997,1.0,0.20219
363,4,1998,1.0,0.20395
364,4,1976,1.0,0.17548
365,4,2010,1.0,0.24445
366,5,1944,1.0,0.13569
367,5,1961,1.0,0.15
368,4,2000,1.0,0.21934
369,3,2004,1.0,0.11924
370,3,2004,1.0,0.11925
371,4,1961,1.0,0.15718
372,3,2011,1.0,0.1228799999999999
373,5,1949,1.0,0.13945
374,5,1954,1.0,0.14352
375,3,2015,2.0,0.10527
376,4,1964,2.0,0.15966
377,5,1961,1.0,0.14972
378,3,2006,1.0,0.1200599999999999
379,3,2014,1.0,0.11928
380,3,2008,1.0,0.12038
381,3,2012,1.0,0.1181
382,5,1946,1.0,0.13766
383,3,2006,1.0,0.1220599999999999
384,4,1997,1.0,0.21268
385,4,1965,1.0,0.16066
386,3,1996,1.0,0.11158
387,3,1995,1.0,0.1108
388,4,1994,1.0,0.20055
389,4,2001,1.0,0.21491
390,3,1996,1.0,0.10853
391,3,1996,1.0,0.10837
392,3,1995,1.0,0.1093599999999999
393,3,1997,1.0,0.1111
394,4,1999,1.0,0.2158
395,3,1994,1.0,0.10878
396,4,1986,1.0,0.18944
397,3,1994,1.0,0.10878
398,4,1997,1.0,0.21028
399,4,1998,1.0,0.21223
400,1,1989,1.0,0.19987
401,3,1989,1.0,0.07815
402,3,2004,1.0,0.08589
403,3,2009,2.0,0.0664299999999999
404,3,1991,1.0,0.10929
405,3,1991,2.0,0.1093599999999999
406,3,1991,1.0,0.10937
407,3,2005,2.0,0.11209
408,5,1955,1.0,0.14396
409,3,2006,1.0,0.12068
410,3,2013,1.0,0.11709
411,3,2010,1.0,0.1248599999999999
412,3,2010,1.0,0.1249
413,3,1992,1.0,0.10783
414,3,1999,1.0,0.11395
415,3,2004,1.0,0.11862
416,1,2007,1.0,0.2356099999999999
417,4,2000,1.0,0.2191199999999999
418,4,1965,1.0,0.162
419,5,1950,1.0,0.14115
420,5,1945,1.0,0.1371
421,5,1945,1.0,0.13699
422,5,1960,1.0,0.14964
423,4,1981,1.0,0.18407
424,3,2004,1.0,0.11782
425,3,2007,1.0,0.11097
426,4,2000,1.0,0.21864
427,4,1988,1.0,0.19926
428,4,1988,1.0,0.19958
429,4,1988,1.0,0.1996
430,4,1988,2.0,0.1993599999999999
431,4,1988,3.0,0.19896
432,4,1988,1.0,0.19925
433,4,1988,1.0,0.19937
434,5,1925,1.0,0.12133
435,3,2012,2.0,0.1016799999999999
436,3,2012,1.0,0.1106099999999999
437,4,1955,1.0,0.14889
438,1,2005,1.0,0.2303599999999999
439,4,1990,1.0,0.19809
440,3,1995,1.0,0.11058
441,5,1935,1.0,0.1288
442,4,1993,1.0,0.20206
443,4,1995,1.0,0.20589
444,4,1979,1.0,0.1781299999999999
445,5,1911,1.0,0.11324
446,4,1993,1.0,0.2025
447,4,1998,1.0,0.21233
448,4,1993,1.0,0.20227
449,5,1911,1.0,0.11324
450,1,1989,1.0,0.20021
451,3,2004,1.0,0.1212299999999999
452,3,2004,1.0,0.08571
453,5,1970,1.0,0.1568
454,4,1993,1.0,0.20203
455,4,1998,1.0,0.2123199999999999
456,3,1998,1.0,0.11216
457,5,1960,1.0,0.14555
458,5,1945,1.0,0.13351
459,4,1955,1.0,0.14644
460,5,1935,1.0,0.1255099999999999
461,5,1946,1.0,0.13337
462,5,1955,1.0,0.14045
463,4,1974,1.0,0.16793
464,4,2004,1.0,0.22234
465,3,2003,1.0,0.11395
466,4,1990,1.0,0.19682
467,4,1996,1.0,0.20853
468,5,1955,1.0,0.1409099999999999
469,4,1987,1.0,0.18842
470,5,1960,1.0,0.14527
471,5,1960,1.0,0.14526
472,5,1955,1.0,0.14104
473,4,1988,2.0,0.20069
474,4,1988,1.0,0.2011599999999999
475,4,1988,1.0,0.20152
476,3,2005,1.0,0.10727
477,3,2005,1.0,0.10257
478,3,2005,1.0,0.1137099999999999
479,3,2007,1.0,0.12176
480,5,1935,1.0,0.1288
481,4,1988,1.0,0.20001
482,4,1988,1.0,0.19977
483,4,1988,1.0,0.20033
484,4,1988,2.0,0.19992
485,4,1988,1.0,0.20054
486,4,1988,1.0,0.20074
487,4,1988,1.0,0.20059
488,4,1988,1.0,0.20073
489,4,1995,1.0,0.2187599999999999
490,3,2001,1.0,0.12113
491,3,2014,1.0,0.13631
492,3,2014,1.0,0.13631
493,4,2007,1.0,0.2478699999999999
494,5,1960,1.0,0.15637
495,4,1993,1.0,0.21444
496,1,1982,1.0,0.19433
497,3,1983,1.0,0.106
498,1,1983,3.0,0.1955
499,4,1986,1.0,0.2008
500,4,1986,1.0,0.20125
501,3,1987,1.0,0.10868
502,1,1991,1.0,0.20925
503,3,1992,1.0,0.11339
504,3,1982,1.0,0.10494
505,3,1982,2.0,0.10519
506,1,1982,1.0,0.19377
507,1,1982,3.0,0.19355
508,1,1982,2.0,0.19368
509,1,1982,1.0,0.19407
510,4,1982,1.0,0.19412
511,1,1982,3.0,0.1942299999999999
512,3,2004,1.0,0.1255099999999999
513,3,2007,1.0,0.1287599999999999
514,4,1983,1.0,0.19417
515,4,1974,1.0,0.18042
516,3,2012,1.0,0.12979
517,3,2012,1.0,0.1336
518,3,2014,2.0,0.12474
519,1,1991,4.0,0.2094
520,1,1991,4.0,0.20948
521,1,1993,4.0,0.2136
522,1,1993,4.0,0.21368
523,1,1992,4.0,0.21139
524,1,1992,4.0,0.21147
525,4,1972,1.0,0.17751
526,4,1992,3.0,0.21155
527,4,1974,1.0,0.1812
528,4,1981,2.0,0.19196
529,4,1990,1.0,0.20818
530,4,1977,1.0,0.18549
531,4,1979,1.0,0.18867
532,5,1960,1.0,0.15606
533,4,2001,1.0,0.23203
534,4,1989,1.0,0.20664
535,5,1945,1.0,0.14327
536,4,1993,1.0,0.21474
537,3,2003,1.0,0.1241299999999999
538,5,1961,1.0,0.15737
539,4,1996,1.0,0.22088
540,5,1966,1.0,0.16219
541,4,1993,1.0,0.21429
542,4,1993,1.0,0.21435
543,4,1989,1.0,0.2065
544,4,1999,1.0,0.22753
545,4,1964,1.0,0.16755
546,5,1964,1.0,0.1602
547,3,2014,1.0,0.13291
548,4,1927,1.0,0.13134
549,4,1993,1.0,0.2149599999999999
550,3,2011,1.0,0.13119
551,4,1992,2.0,0.2092
552,4,1984,1.0,0.19451
553,4,1980,1.0,0.18773
554,4,1972,1.0,0.17577
555,4,1999,1.0,0.22426
556,4,1980,1.0,0.18775
557,4,1980,1.0,0.18778
558,4,1977,1.0,0.18478
559,4,1977,1.0,0.1847
560,3,2004,1.0,0.10327
561,3,2012,1.0,0.13265
562,4,1994,2.0,0.21379
563,3,1999,1.0,0.11846
564,3,2003,1.0,0.12244
565,3,2004,2.0,0.11315
566,4,1972,1.0,0.17732
567,4,1995,1.0,0.21743
568,4,1995,1.0,0.21721
569,4,1991,1.0,0.209
570,3,2012,1.0,0.1331
571,4,1993,1.0,0.21304
572,4,2003,1.0,0.2359
573,4,1981,1.0,0.1909799999999999
574,1,1991,4.0,0.20963
575,1,1991,4.0,0.20964
576,5,1968,1.0,0.16357
577,4,1987,3.0,0.2019
578,3,2010,1.0,0.13118
579,4,1975,1.0,0.18179
580,3,2002,1.0,0.1222099999999999
581,4,1973,1.0,0.17901
