,magnitude,dmin,latitude,longitude
319,7.0,0.903,-31.5622,-71.4262
320,8.3,0.684,-31.5729,-71.6744
321,6.7,1.256,24.913,-109.623
322,6.5,2.045,-9.3293,157.877
323,6.6,1.872,-9.3438,158.053
324,7.0,6.278,-2.6286,138.528
325,6.9,0.444,52.376,-169.446
326,7.0,5.205,-10.4012,165.141
327,6.5,1.218,13.8672,-58.5479
328,6.7,1.529,-9.307,158.403
329,6.5,2.277,27.7375,139.725
330,7.8,1.675,27.8386,140.493
331,6.8,0.0,56.594,-156.43
332,6.8,3.619,-11.1093,163.215
333,6.9,4.024,-11.0559,163.696
334,6.8,4.395,-10.8759,164.169
335,6.8,1.422,38.9056,142.032
336,7.3,0.677,27.8087,86.0655
337,7.1,3.835,-7.2175,154.557
338,7.5,1.295,-5.4624,151.875
339,6.8,1.074,-5.2005,151.777
340,6.7,1.239,-5.375,151.771
341,6.7,0.727,27.7711,86.0173
342,6.6,1.778,28.2244,84.8216
343,7.8,1.857,28.2305,84.7314
344,6.5,3.702,-15.8815,-178.6
345,6.5,4.629,-15.4994,-173.029
346,7.5,0.666,-4.7294,152.562
347,7.0,1.362,-7.2968,122.535
348,6.7,1.925,39.8558,142.881
349,6.7,2.11,-23.1125,-66.688
350,6.8,2.019,-17.0309,168.52
351,6.5,4.318,5.9045,-82.6576
352,6.6,2.485,7.9401,-82.6865
353,6.6,3.246,-6.5108,154.46
354,6.6,2.6,6.1572,123.126
355,6.8,1.421,1.9604,126.575
356,6.5,1.549,2.2999,127.056
357,6.7,1.079,-37.6478,179.662
358,7.1,1.397,1.8929,126.522
359,6.6,3.557,-5.9873,148.232
360,7.1,4.415,-19.6903,-177.759
361,7.3,1.078,12.5262,-88.1225
362,6.7,0.46,13.7641,144.429
363,6.8,4.107,-14.598,-73.5714
364,6.9,6.393,0.8295,146.169
365,6.9,3.934,-19.8015,-178.4
366,6.5,2.421,37.0052,142.452
367,6.9,0.263,14.724,-92.4614
368,6.5,2.124,-6.2304,152.807
369,6.7,6.713,-14.9831,-175.51
370,6.9,4.838,-55.4703,-28.3669
371,7.9,0.133,51.8486,178.735
372,6.7,0.748,-29.9414,-177.607
373,6.5,0.778,-29.9379,-177.516
